timeindex,acaes_SN,hydrogen_SN,li-ion_SN,phs_SN,redox_SN,tes_SN
2050-01-06 00:00:00+00:00,29.885481,0.0,0.0,166.47594,0.0,1730.4181
2050-01-06 01:00:00+00:00,335.02847,0.0,29.795561,208.9964,0.0,2144.6287
2050-01-06 02:00:00+00:00,640.17146,0.0,780.34319,251.70174,0.0,2558.8393
2050-01-06 03:00:00+00:00,945.31445,0.0,1530.8908,294.59196,28.677407,2973.0499
2050-01-06 04:00:00+00:00,1250.4574,0.0,2281.4385,337.66705,70.268271,3387.2605
2050-01-06 05:00:00+00:00,1555.6004,0.0,2834.6071,380.92702,70.268271,2875.8893
2050-01-06 06:00:00+00:00,1860.7434,0.0,3585.1547,424.37187,111.85914,2364.5182
2050-01-06 07:00:00+00:00,2165.8864,0.0,4335.7024,468.00158,153.45,1853.1471
2050-01-06 08:00:00+00:00,2165.8864,0.0,4335.7024,511.81618,153.45,1341.776
2050-01-06 09:00:00+00:00,2317.5853,0.0,5086.25,555.81565,153.45,830.40493
2050-01-06 10:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,319.03383
2050-01-06 11:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,168.97049
2050-01-06 12:00:00+00:00,2500.0,0.0,5086.25,505.99003,153.45,168.97049
2050-01-06 13:00:00+00:00,2500.0,0.0,5086.25,412.16495,153.45,168.97049
2050-01-06 14:00:00+00:00,2500.0,0.0,5086.25,457.0888,153.45,168.97049
2050-01-06 15:00:00+00:00,2500.0,0.0,5086.25,463.56456,153.45,168.97049
2050-01-06 16:00:00+00:00,2500.0,0.0,5086.25,508.85817,153.45,168.97049
2050-01-06 17:00:00+00:00,2500.0,0.0,5086.25,554.33665,153.45,168.97049
2050-01-06 18:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,168.97049
2050-01-06 19:00:00+00:00,2500.0,0.0,5086.25,591.2956,153.45,0.0
2050-01-06 20:00:00+00:00,2235.8529,0.0,5086.25,600.0,153.45,0.0
2050-01-06 21:00:00+00:00,1817.8488,0.0,4606.6764,600.0,153.45,0.0
2050-01-06 22:00:00+00:00,1399.8447,0.0,3790.8638,507.83879,101.46142,288.32588
2050-01-06 23:00:00+00:00,981.84057,0.0,2975.0511,415.86246,49.472839,575.83829
2050-01-07 00:00:00+00:00,925.99344,0.0,2554.9429,324.07101,49.472839,990.04888
2050-01-07 01:00:00+00:00,925.99344,0.0,2762.0218,370.96835,49.472839,1404.2595
2050-01-07 02:00:00+00:00,925.99344,0.0,3049.3513,417.99042,49.472839,1818.4701
2050-01-07 03:00:00+00:00,925.99344,0.0,3212.0236,465.13723,49.472839,2196.3256
2050-01-07 04:00:00+00:00,895.17287,0.0,3212.0236,505.08273,49.472839,2196.3256
2050-01-07 05:00:00+00:00,895.17287,0.0,3212.0236,552.479,49.472839,1684.9545
2050-01-07 06:00:00+00:00,895.17287,0.0,3212.0236,600.0,49.472839,1173.5834
2050-01-07 07:00:00+00:00,895.17287,0.0,3212.0236,528.76913,49.472839,1173.5834
2050-01-07 08:00:00+00:00,895.17287,0.0,2740.2697,437.97553,49.472839,1173.5834
2050-01-07 09:00:00+00:00,895.17287,0.0,2171.5391,347.30666,49.472839,1173.5834
2050-01-07 10:00:00+00:00,477.16877,0.0,2150.0798,256.76252,0.0,1173.5834
2050-01-07 11:00:00+00:00,477.16877,0.0,1535.3408,180.46462,0.0,1173.5834
2050-01-07 12:00:00+00:00,418.0041,0.0,719.52819,90.169943,0.0,1173.5834
2050-01-07 13:00:00+00:00,0.0,0.0,373.58113,0.0,0.0,1254.3064
2050-01-07 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1254.3064
2050-01-07 15:00:00+00:00,0.0,0.0,0.0,9.8163529,0.0,742.93526
2050-01-07 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,231.56415
2050-01-07 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,231.56415
2050-01-07 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-07 19:00:00+00:00,0.0,0.0,0.0,1.0539889,0.0,0.0
2050-01-07 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-07 21:00:00+00:00,0.0,0.0,0.0,49.391975,0.0,0.0
2050-01-07 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-07 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,414.21059
2050-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,828.42119
2050-01-08 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1242.6318
2050-01-08 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1656.8424
2050-01-08 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2071.053
2050-01-08 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2485.2636
2050-01-08 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2899.4742
2050-01-08 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3313.6848
2050-01-08 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3727.8954
2050-01-08 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4142.1059
2050-01-08 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4556.3165
2050-01-08 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4970.5271
2050-01-08 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5384.7377
2050-01-08 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5798.9483
2050-01-08 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6213.1589
2050-01-08 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6627.3695
2050-01-08 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7041.5801
2050-01-08 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7455.7907
2050-01-08 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7870.0013
2050-01-08 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8284.2119
2050-01-08 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8698.4225
2050-01-08 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9112.6331
2050-01-08 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9526.8437
2050-01-08 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9941.0543
2050-01-08 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10355.265
2050-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10769.475
2050-01-09 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,11183.686
2050-01-09 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,11597.897
2050-01-09 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12012.107
2050-01-09 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12426.318
2050-01-09 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12840.528
2050-01-09 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,13254.739
2050-01-09 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,13668.95
2050-01-09 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14083.16
2050-01-09 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14497.371
2050-01-09 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14911.581
2050-01-09 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15325.792
2050-01-09 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15740.003
2050-01-09 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16154.213
2050-01-09 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16568.424
2050-01-09 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16982.634
2050-01-09 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17396.845
2050-01-09 17:00:00+00:00,0.0,0.0,0.0,52.936399,0.0,17811.056
2050-01-09 18:00:00+00:00,0.0,0.0,0.0,107.2236,0.0,18225.266
2050-01-09 19:00:00+00:00,190.45104,0.0,638.48802,161.60554,0.0,18639.477
2050-01-09 20:00:00+00:00,495.59403,0.0,1389.0356,216.08222,41.590864,19053.687
2050-01-09 21:00:00+00:00,800.73702,0.0,2139.5833,270.65363,41.590864,19467.898
2050-01-09 22:00:00+00:00,1105.88,0.0,2890.1309,325.31977,83.181729,19882.109
2050-01-09 23:00:00+00:00,1411.023,0.0,3640.6785,380.08064,124.77259,20296.319
2050-01-10 00:00:00+00:00,1716.166,0.0,4316.5967,434.93625,153.45,20710.53
2050-01-10 01:00:00+00:00,2021.309,0.0,4835.7023,489.87468,153.45,21124.74
2050-01-10 02:00:00+00:00,2326.452,0.0,5086.25,544.89593,153.45,21538.951
2050-01-10 03:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,21953.162
2050-01-10 04:00:00+00:00,2371.7524,0.0,5086.25,525.47178,153.45,21953.162
2050-01-10 05:00:00+00:00,1953.7483,0.0,4378.4307,580.7415,153.45,21441.79
2050-01-10 06:00:00+00:00,1535.7442,0.0,3562.6181,497.52996,101.46142,20930.419
2050-01-10 07:00:00+00:00,1117.7401,0.0,2746.8054,414.40125,49.472839,20419.048
2050-01-10 08:00:00+00:00,699.736,0.0,1930.9928,331.35536,49.472839,19907.677
2050-01-10 09:00:00+00:00,281.7319,0.0,1115.1801,248.39229,0.0,19396.306
2050-01-10 10:00:00+00:00,0.0,0.0,701.55598,165.51204,0.0,18884.935
2050-01-10 11:00:00+00:00,0.0,0.0,255.04461,82.714609,0.0,18373.564
2050-01-10 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17862.193
2050-01-10 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17350.822
2050-01-10 14:00:00+00:00,0.0,0.0,0.0,56.015097,0.0,16839.45
2050-01-10 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16328.079
2050-01-10 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15816.708
2050-01-10 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15305.337
2050-01-10 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14793.966
2050-01-10 19:00:00+00:00,0.0,0.0,107.64747,56.429199,0.0,14282.595
2050-01-10 20:00:00+00:00,0.0,0.0,431.45094,112.94122,0.0,13771.224
2050-01-10 21:00:00+00:00,0.0,0.0,772.09628,169.53606,0.0,13259.853
2050-01-10 22:00:00+00:00,0.0,0.0,1095.3553,226.21372,0.0,13369.738
2050-01-10 23:00:00+00:00,0.0,0.0,1521.4664,282.9742,0.0,13783.948
2050-01-11 00:00:00+00:00,0.0,0.0,1962.4648,339.8175,0.0,14198.159
2050-01-11 01:00:00+00:00,0.0,0.0,2455.9273,396.69467,0.0,14612.37
2050-01-11 02:00:00+00:00,0.0,0.0,3043.468,429.06375,0.0,15026.58
2050-01-11 03:00:00+00:00,0.0,0.0,3640.8524,486.00864,0.0,15304.661
2050-01-11 04:00:00+00:00,0.0,0.0,4311.3957,542.98739,0.0,15034.912
2050-01-11 05:00:00+00:00,0.0,0.0,4455.9527,600.0,0.0,14523.541
2050-01-11 06:00:00+00:00,0.0,0.0,4228.2215,518.48241,0.0,14012.17
2050-01-11 07:00:00+00:00,0.0,0.0,3589.5111,452.65447,0.0,13500.799
2050-01-11 08:00:00+00:00,0.0,0.0,3439.7504,371.2046,0.0,12989.428
2050-01-11 09:00:00+00:00,0.0,0.0,3675.4186,428.35266,0.0,12478.057
